lsoa21cd,msoa21cd,ltla21cd,rgn21cd,lng,lat,population
E01000096,E02000023,E09000002,E12000007,0.1141,51.5318,1624
E01000097,E02006799,E09000002,E12000007,0.1292,51.5638,1922
E01000098,E02006799,E09000002,E12000007,0.1269,51.5608,1930
E01000099,E02006799,E09000002,E12000007,0.1334,51.5624,2744
E01000100,E02000005,E09000002,E12000007,0.1388,51.5596,1928
E01000101,E02000005,E09000002,E12000007,0.1443,51.5593,1691
E01000102,E02000008,E09000002,E12000007,0.1315,51.557,1810
E01000103,E02000015,E09000002,E12000007,0.1669,51.536,1759
E01000104,E02000015,E09000002,E12000007,0.1664,51.5389,1910
E01000105,E02000015,E09000002,E12000007,0.153,51.5406,2257
E01000106,E02000015,E09000002,E12000007,0.1593,51.5403,2267
E01000107,E02000011,E09000002,E12000007,0.1741,51.5414,1820
E01000108,E02000011,E09000002,E12000007,0.1651,51.5423,1930
E01000110,E02000003,E09000002,E12000007,0.1458,51.5739,1659
E01000111,E02000003,E09000002,E12000007,0.1456,51.5687,2176
E01000112,E02000003,E09000002,E12000007,0.1393,51.5707,2063
E01000113,E02000003,E09000002,E12000007,0.1337,51.5698,2021
E01000114,E02000005,E09000002,E12000007,0.1484,51.5647,2385
E01000115,E02000032,E09000003,E12000007,-0.1419,51.6363,1376
E01000116,E02000032,E09000003,E12000007,-0.1464,51.6337,1680
E01000117,E02000033,E09000003,E12000007,-0.1568,51.6329,1779
E01000118,E02000033,E09000003,E12000007,-0.1515,51.6313,2019
E01000119,E02000032,E09000003,E12000007,-0.1352,51.6307,1769
E01000120,E02000032,E09000003,E12000007,-0.1401,51.6322,1468
E01000121,E02000033,E09000003,E12000007,-0.1487,51.6274,1410
E01000122,E02000032,E09000003,E12000007,-0.1381,51.626,1509
E01000123,E02000033,E09000003,E12000007,-0.1431,51.6217,1744
E01000124,E02000033,E09000003,E12000007,-0.1432,51.6184,1894
E01000126,E02000049,E09000003,E12000007,-0.2517,51.6008,2193
E01000127,E02000047,E09000003,E12000007,-0.2596,51.6056,1551
E01000128,E02000047,E09000003,E12000007,-0.2587,51.6016,2040
E01000129,E02000047,E09000003,E12000007,-0.265,51.6008,1606
E01000130,E02000044,E09000003,E12000007,-0.2536,51.6042,1921
E01000131,E02000047,E09000003,E12000007,-0.2571,51.5974,1931
E01000132,E02000044,E09000003,E12000007,-0.2576,51.6091,1594
E01000133,E02000044,E09000003,E12000007,-0.2516,51.6074,1617
E01000134,E02000047,E09000003,E12000007,-0.2658,51.6075,1784
E01000135,E02000061,E09000003,E12000007,-0.202,51.5681,1715
E01000136,E02000061,E09000003,E12000007,-0.1923,51.5676,1473
E01000137,E02000064,E09000003,E12000007,-0.2009,51.5645,1686
E01000138,E02000063,E09000003,E12000007,-0.2058,51.564,1624
E01000139,E02000064,E09000003,E12000007,-0.2011,51.5602,1424
E01000140,E02000064,E09000003,E12000007,-0.197,51.5628,1986
E01000141,E02000062,E09000003,E12000007,-0.2136,51.5581,1790
E01000142,E02000063,E09000003,E12000007,-0.2114,51.5619,2173
E01000143,E02000064,E09000003,E12000007,-0.209,51.5585,1684
E01000144,E02000061,E09000003,E12000007,-0.1992,51.5743,1677
E01000145,E02000060,E09000003,E12000007,-0.2049,51.5734,1607
E01000146,E02000061,E09000003,E12000007,-0.1972,51.5709,1868
E01000147,E02006954,E09000003,E12000007,-0.2495,51.5897,1995
E01000150,E02000059,E09000003,E12000007,-0.2445,51.5861,2196
E01000151,E02000049,E09000003,E12000007,-0.244,51.6014,1657
E01000152,E02000049,E09000003,E12000007,-0.2441,51.6046,2731
E01000153,E02000049,E09000003,E12000007,-0.2484,51.6043,1842
E01000154,E02000049,E09000003,E12000007,-0.2441,51.5984,1839
E01000156,E02000045,E09000003,E12000007,-0.1485,51.6001,1980
E01000157,E02000045,E09000003,E12000007,-0.1449,51.603,1565
E01000158,E02000038,E09000003,E12000007,-0.1521,51.6161,1494
E01000159,E02000038,E09000003,E12000007,-0.1567,51.6187,1749
E01000160,E02000038,E09000003,E12000007,-0.1469,51.615,1893
E01000161,E02000038,E09000003,E12000007,-0.1533,51.6133,2043
E01000162,E02000038,E09000003,E12000007,-0.1585,51.6118,1675
E01000163,E02000045,E09000003,E12000007,-0.1451,51.607,1687
E01000164,E02000045,E09000003,E12000007,-0.1497,51.6042,1675
E01000165,E02000045,E09000003,E12000007,-0.1503,51.6099,1740
E01000166,E02000026,E09000003,E12000007,-0.1592,51.6531,1618
E01000167,E02000025,E09000003,E12000007,-0.1668,51.6541,1350
E01000168,E02000026,E09000003,E12000007,-0.1556,51.6491,1488
E01000169,E02000026,E09000003,E12000007,-0.1647,51.6503,1554
E01000170,E02000029,E09000003,E12000007,-0.1655,51.6458,1907
E01000171,E02000029,E09000003,E12000007,-0.1697,51.648,2297
E01000172,E02000026,E09000003,E12000007,-0.1518,51.6438,1677
E01000173,E02000029,E09000003,E12000007,-0.1586,51.6423,1615
E01000174,E02000029,E09000003,E12000007,-0.1652,51.6418,1694
E01000175,E02000029,E09000003,E12000007,-0.1633,51.638,1980
E01000176,E02000050,E09000003,E12000007,-0.179,51.5958,1679
E01000177,E02000052,E09000003,E12000007,-0.172,51.593,1663
E01000178,E02000050,E09000003,E12000007,-0.1646,51.5933,1634
E01000179,E02000052,E09000003,E12000007,-0.1763,51.5947,1770
E01000180,E02000052,E09000003,E12000007,-0.1705,51.5898,1697
E01000181,E02000052,E09000003,E12000007,-0.1635,51.5912,1702
E01000182,E02000052,E09000003,E12000007,-0.1623,51.5886,1618
E01000183,E02000056,E09000003,E12000007,-0.1763,51.5898,1539
E01000184,E02000050,E09000003,E12000007,-0.1715,51.6009,1810
E01000185,E02000052,E09000003,E12000007,-0.1724,51.5958,1463
E01000186,E02000037,E09000003,E12000007,-0.2752,51.6232,1803
E01000187,E02000037,E09000003,E12000007,-0.2726,51.6263,1771
E01000188,E02000037,E09000003,E12000007,-0.2797,51.6263,1593
E01000189,E02000037,E09000003,E12000007,-0.2884,51.6214,2463
E01000190,E02000037,E09000003,E12000007,-0.2848,51.6189,1743
E01000191,E02000037,E09000003,E12000007,-0.2791,51.6203,1554
E01000192,E02000041,E09000003,E12000007,-0.2739,51.6163,2026
E01000193,E02000041,E09000003,E12000007,-0.2793,51.6142,1995
E01000194,E02000041,E09000003,E12000007,-0.274,51.6102,1891
E01000195,E02000036,E09000003,E12000007,-0.2687,51.6304,2009
E01000196,E02000051,E09000003,E12000007,-0.1964,51.5979,2150
E01000197,E02000046,E09000003,E12000007,-0.1879,51.5978,1827
E01000198,E02000048,E09000003,E12000007,-0.2145,51.5959,2156
E01000199,E02000048,E09000003,E12000007,-0.208,51.5994,1627
E01000200,E02000051,E09000003,E12000007,-0.2038,51.5962,2026
E01000201,E02000051,E09000003,E12000007,-0.2049,51.5916,1523
E01000202,E02000051,E09000003,E12000007,-0.1965,51.5943,1661
E01000203,E02000051,E09000003,E12000007,-0.1915,51.5926,1880
E01000204,E02000048,E09000003,E12000007,-0.1999,51.6019,1726
E01000205,E02000058,E09000003,E12000007,-0.1891,51.5873,1534
E01000206,E02000056,E09000003,E12000007,-0.1778,51.5743,1497
E01000207,E02000056,E09000003,E12000007,-0.1837,51.5831,1591
E01000208,E02000056,E09000003,E12000007,-0.1706,51.5858,1642
E01000209,E02000058,E09000003,E12000007,-0.1949,51.5838,1519
E01000210,E02000056,E09000003,E12000007,-0.1812,51.5878,1526
E01000211,E02000058,E09000003,E12000007,-0.1983,51.5856,2127
E01000212,E02000058,E09000003,E12000007,-0.1946,51.5783,1362
E01000213,E02000056,E09000003,E12000007,-0.1788,51.5807,1370
E01000214,E02000061,E09000003,E12000007,-0.1896,51.5727,1668
E01000215,E02000060,E09000003,E12000007,-0.2088,51.5804,2161
E01000216,E02000058,E09000003,E12000007,-0.2007,51.5791,1972
E01000217,E02000058,E09000003,E12000007,-0.2027,51.5836,1836
E01000218,E02000060,E09000003,E12000007,-0.2054,51.5778,1830
E01000219,E02000060,E09000003,E12000007,-0.2119,51.5758,2207
E01000220,E02000060,E09000003,E12000007,-0.2078,51.5755,1904
E01000221,E02000062,E09000003,E12000007,-0.2167,51.5727,1477
E01000222,E02000063,E09000003,E12000007,-0.2127,51.5688,2032
E01000223,E02000062,E09000003,E12000007,-0.2203,51.5669,2081
E01000224,E02000063,E09000003,E12000007,-0.213,51.5658,1686
E01000225,E02000060,E09000003,E12000007,-0.2064,51.5856,1859
E01000226,E02000041,E09000003,E12000007,-0.2657,51.6105,1712
E01000227,E02000041,E09000003,E12000007,-0.2666,51.6147,1894
E01000228,E02000030,E09000003,E12000007,-0.2496,51.6267,1416
E01000229,E02000036,E09000003,E12000007,-0.265,51.6249,1657
E01000230,E02000036,E09000003,E12000007,-0.2689,51.6238,1975
E01000231,E02000036,E09000003,E12000007,-0.2577,51.6245,1746
E01000232,E02000036,E09000003,E12000007,-0.2612,51.6197,1828
E01000233,E02000036,E09000003,E12000007,-0.2606,51.6145,1922
E01000234,E02000044,E09000003,E12000007,-0.2555,51.6156,1741
E01000235,E02000044,E09000003,E12000007,-0.254,51.611,1803
E01000236,E02000057,E09000003,E12000007,-0.2136,51.5848,1896
E01000237,E02000055,E09000003,E12000007,-0.225,51.5851,2175
E01000238,E02000057,E09000003,E12000007,-0.2137,51.5886,2104
E01000239,E02000054,E09000003,E12000007,-0.2343,51.5912,2102
E01000240,E02000054,E09000003,E12000007,-0.2323,51.5983,1777
E01000241,E02000054,E09000003,E12000007,-0.2253,51.5947,1819
E01000242,E02000055,E09000003,E12000007,-0.2162,51.5924,1624
E01000243,E02000055,E09000003,E12000007,-0.2213,51.5901,2161
E01000244,E02000055,E09000003,E12000007,-0.2258,51.5902,1653
E01000245,E02000055,E09000003,E12000007,-0.2203,51.5873,2068
E01000246,E02000025,E09000003,E12000007,-0.1872,51.6534,1571
E01000247,E02000025,E09000003,E12000007,-0.18,51.6542,1653
E01000248,E02000024,E09000003,E12000007,-0.2065,51.6551,1705
E01000249,E02000024,E09000003,E12000007,-0.2121,51.6566,1606
E01000250,E02000024,E09000003,E12000007,-0.1986,51.6545,2614
E01000251,E02000025,E09000003,E12000007,-0.1789,51.6504,2235
E01000252,E02000025,E09000003,E12000007,-0.1852,51.6499,1698
E01000253,E02000030,E09000003,E12000007,-0.2265,51.6504,2029
E01000254,E02000024,E09000003,E12000007,-0.2049,51.6591,1603
E01000255,E02000040,E09000003,E12000007,-0.2245,51.6116,1699
E01000256,E02000039,E09000003,E12000007,-0.2343,51.6088,1956
E01000257,E02000040,E09000003,E12000007,-0.2103,51.6093,2403
E01000258,E02000039,E09000003,E12000007,-0.2426,51.615,1893
E01000259,E02000048,E09000003,E12000007,-0.214,51.6066,2638
E01000260,E02000048,E09000003,E12000007,-0.2362,51.6052,2181
E01000261,E02000040,E09000003,E12000007,-0.2378,51.6208,1817
E01000263,E02000039,E09000003,E12000007,-0.2466,51.6213,1538
E01000264,E02000039,E09000003,E12000007,-0.2506,51.6182,1845
E01000265,E02000034,E09000003,E12000007,-0.1572,51.6241,1905
E01000266,E02000034,E09000003,E12000007,-0.1638,51.6239,1454
E01000267,E02000028,E09000003,E12000007,-0.1725,51.6413,1501
E01000268,E02000028,E09000003,E12000007,-0.1783,51.648,2034
E01000269,E02000028,E09000003,E12000007,-0.1837,51.6431,1359
E01000270,E02000028,E09000003,E12000007,-0.1754,51.6452,1497
E01000271,E02000031,E09000003,E12000007,-0.1772,51.6385,1636
E01000272,E02000031,E09000003,E12000007,-0.168,51.6346,1391
E01000273,E02000031,E09000003,E12000007,-0.1712,51.6317,1670
E01000274,E02000034,E09000003,E12000007,-0.1606,51.6278,1919
E01000275,E02000035,E09000003,E12000007,-0.1862,51.6204,1765
E01000276,E02000043,E09000003,E12000007,-0.1946,51.6182,1486
E01000277,E02000035,E09000003,E12000007,-0.1831,51.6182,1702
E01000278,E02000043,E09000003,E12000007,-0.1945,51.6141,1486
E01000279,E02000030,E09000003,E12000007,-0.1992,51.6326,1386
E01000280,E02000030,E09000003,E12000007,-0.1854,51.6313,1360
E01000281,E02000031,E09000003,E12000007,-0.1732,51.6286,1996
E01000282,E02000031,E09000003,E12000007,-0.1791,51.6289,1743
E01000283,E02000035,E09000003,E12000007,-0.1892,51.6249,1352
E01000284,E02000035,E09000003,E12000007,-0.1766,51.6248,1907
E01000285,E02000027,E09000003,E12000007,-0.2101,51.6454,1489
E01000286,E02000030,E09000003,E12000007,-0.2187,51.6479,1749
E01000287,E02000027,E09000003,E12000007,-0.2147,51.6443,1635
E01000288,E02000027,E09000003,E12000007,-0.189,51.6442,1529
E01000289,E02000027,E09000003,E12000007,-0.1967,51.6444,1560
E01000290,E02000030,E09000003,E12000007,-0.2247,51.6458,1542
E01000291,E02000027,E09000003,E12000007,-0.2017,51.6443,1527
E01000292,E02000024,E09000003,E12000007,-0.2041,51.6488,1555
E01000293,E02000024,E09000003,E12000007,-0.1986,51.6492,1778
E01000294,E02000027,E09000003,E12000007,-0.2098,51.6507,1765
E01000295,E02000046,E09000003,E12000007,-0.1883,51.6018,1598
E01000296,E02000046,E09000003,E12000007,-0.1934,51.6043,1814
E01000297,E02000050,E09000003,E12000007,-0.1812,51.5994,1445
E01000298,E02000046,E09000003,E12000007,-0.1866,51.6048,1750
E01000299,E02000042,E09000003,E12000007,-0.1779,51.6139,2187
E01000300,E02000042,E09000003,E12000007,-0.1834,51.6145,1641
E01000301,E02000043,E09000003,E12000007,-0.1885,51.6113,1443
E01000302,E02000042,E09000003,E12000007,-0.1828,51.6104,1804
E01000303,E02000043,E09000003,E12000007,-0.1927,51.6087,1519
E01000304,E02000043,E09000003,E12000007,-0.1974,51.6058,1535
E01000305,E02000059,E09000003,E12000007,-0.239,51.5758,1604
E01000306,E02000059,E09000003,E12000007,-0.2344,51.5785,2022
E01000307,E02000062,E09000003,E12000007,-0.2308,51.5755,1640
E01000308,E02000059,E09000003,E12000007,-0.2429,51.5778,2044
E01000309,E02000054,E09000003,E12000007,-0.2348,51.5851,2107
E01000310,E02000057,E09000003,E12000007,-0.2255,51.5793,2187
E01000311,E02000057,E09000003,E12000007,-0.2167,51.5812,1758
E01000312,E02000059,E09000003,E12000007,-0.2513,51.5818,1799
E01000313,E02000059,E09000003,E12000007,-0.2399,51.5799,1864
E01000314,E02000055,E09000003,E12000007,-0.2304,51.5818,2183
E01000315,E02000045,E09000003,E12000007,-0.1648,51.6093,1688
E01000316,E02000050,E09000003,E12000007,-0.1757,51.604,2224
E01000317,E02000042,E09000003,E12000007,-0.1806,51.6079,1636
E01000318,E02000042,E09000003,E12000007,-0.1719,51.6096,1877
E01000319,E02000050,E09000003,E12000007,-0.1794,51.6026,1339
E01000320,E02000034,E09000003,E12000007,-0.1734,51.6201,1941
E01000321,E02000035,E09000003,E12000007,-0.1779,51.6198,1939
E01000322,E02000034,E09000003,E12000007,-0.1703,51.6162,1851
E01000323,E02000042,E09000003,E12000007,-0.1741,51.6142,2379
E01000324,E02000038,E09000003,E12000007,-0.1638,51.6137,1834
E01000325,E02000078,E09000004,E12000007,0.1636,51.4622,1698
E01000326,E02000078,E09000004,E12000007,0.1748,51.4634,1423
E01000327,E02000081,E09000004,E12000007,0.1555,51.4627,1584
E01000328,E02000081,E09000004,E12000007,0.1653,51.4566,1656
E01000329,E02000081,E09000004,E12000007,0.1557,51.4561,1722
E01000330,E02000081,E09000004,E12000007,0.1522,51.459,1626
E01000331,E02000081,E09000004,E12000007,0.1623,51.4528,1712
E01000332,E02000069,E09000004,E12000007,0.1508,51.4854,1578
E01000333,E02000067,E09000004,E12000007,0.1456,51.4821,1895
E01000334,E02000070,E09000004,E12000007,0.1397,51.482,1679
E01000335,E02000067,E09000004,E12000007,0.1541,51.4942,2793
E01000336,E02000067,E09000004,E12000007,0.1461,51.4904,2037
E01000337,E02000067,E09000004,E12000007,0.143,51.4881,1726
E01000338,E02000067,E09000004,E12000007,0.1478,51.4882,1816
E01000339,E02000089,E09000004,E12000007,0.085,51.4389,1628
E01000340,E02000082,E09000004,E12000007,0.0893,51.4527,1575
E01000341,E02000086,E09000004,E12000007,0.0945,51.4493,1538
E01000342,E02000086,E09000004,E12000007,0.0911,51.4457,1492
E01000343,E02000086,E09000004,E12000007,0.0997,51.4483,1463
E01000344,E02000089,E09000004,E12000007,0.0874,51.442,1602
E01000345,E02000086,E09000004,E12000007,0.0942,51.4423,1301
E01000346,E02000085,E09000004,E12000007,0.11,51.4456,1562
E01000347,E02000085,E09000004,E12000007,0.1063,51.4482,1495
E01000348,E02000084,E09000004,E12000007,0.126,51.4454,1455
E01000349,E02000084,E09000004,E12000007,0.1345,51.4468,1731
E01000350,E02000085,E09000004,E12000007,0.1036,51.4448,1490
E01000351,E02000088,E09000004,E12000007,0.1172,51.4438,1602
E01000352,E02000085,E09000004,E12000007,0.1151,51.4491,1610
E01000353,E02000075,E09000004,E12000007,0.1438,51.4689,1667
E01000354,E02000075,E09000004,E12000007,0.1349,51.4703,1507
E01000355,E02000075,E09000004,E12000007,0.1512,51.4683,1445
E01000356,E02000073,E09000004,E12000007,0.1321,51.4664,1578
E01000357,E02000073,E09000004,E12000007,0.1266,51.4672,1367
E01000358,E02000075,E09000004,E12000007,0.1392,51.4657,1665
E01000359,E02000073,E09000004,E12000007,0.1307,51.4729,1320
E01000360,E02000079,E09000004,E12000007,0.1375,51.4575,1916
E01000361,E02000084,E09000004,E12000007,0.1309,51.4538,1617
E01000362,E02000079,E09000004,E12000007,0.1463,51.454,2044
E01000363,E02000084,E09000004,E12000007,0.1359,51.4525,1595
E01000364,E02000087,E09000004,E12000007,0.1489,51.4503,1671
E01000365,E02000079,E09000004,E12000007,0.1458,51.4613,1762
E01000366,E02000079,E09000004,E12000007,0.1347,51.4609,1611
E01000367,E02000074,E09000004,E12000007,0.1781,51.4722,2305
E01000368,E02000074,E09000004,E12000007,0.176,51.4682,1685
E01000369,E02000078,E09000004,E12000007,0.1672,51.4702,1707
E01000370,E02000078,E09000004,E12000007,0.1609,51.4676,1598
E01000371,E02000078,E09000004,E12000007,0.1702,51.4662,1617
E01000372,E02000074,E09000004,E12000007,0.1703,51.4742,1700
E01000373,E02000072,E09000004,E12000007,0.1789,51.474,1399
E01000374,E02000083,E09000004,E12000007,0.1912,51.4577,1551
E01000375,E02000083,E09000004,E12000007,0.1885,51.45,2162
E01000376,E02000083,E09000004,E12000007,0.1878,51.4553,1664
E01000377,E02000083,E09000004,E12000007,0.18,51.455,1476
E01000379,E02000083,E09000004,E12000007,0.1811,51.4462,1709
E01000380,E02000074,E09000004,E12000007,0.1825,51.4614,1725
E01000381,E02000092,E09000004,E12000007,0.1297,51.4321,1632
E01000382,E02000091,E09000004,E12000007,0.1177,51.4304,1614
E01000383,E02000092,E09000004,E12000007,0.1317,51.4209,1620
E01000384,E02000091,E09000004,E12000007,0.1107,51.4214,1722
E01000385,E02000092,E09000004,E12000007,0.1272,51.4187,2042
E01000386,E02000092,E09000004,E12000007,0.116,51.4184,1534
E01000387,E02000091,E09000004,E12000007,0.125,51.4331,1551
E01000388,E02000080,E09000004,E12000007,0.1082,51.4594,1506
E01000389,E02000084,E09000004,E12000007,0.1271,51.4574,1722
E01000390,E02000084,E09000004,E12000007,0.1255,51.4509,1395
E01000391,E02000085,E09000004,E12000007,0.1078,51.4531,1749
E01000392,E02000080,E09000004,E12000007,0.1128,51.4624,2017
E01000393,E02000084,E09000004,E12000007,0.1203,51.462,1711
E01000394,E02000079,E09000004,E12000007,0.1288,51.4614,1660
E01000395,E02000082,E09000004,E12000007,0.0867,51.4648,1567
E01000396,E02000082,E09000004,E12000007,0.0875,51.4618,1450
E01000398,E02006785,E09000004,E12000007,0.0947,51.471,1624
E01000399,E02006785,E09000004,E12000007,0.0936,51.4663,1613
E01000400,E02006785,E09000004,E12000007,0.0985,51.4676,1578
E01000401,E02000077,E09000004,E12000007,0.1061,51.4671,1828
E01000402,E02000069,E09000004,E12000007,0.1552,51.4838,1623
E01000403,E02000068,E09000004,E12000007,0.1797,51.4798,2412
E01000404,E02000068,E09000004,E12000007,0.1741,51.4849,2429
E01000405,E02000068,E09000004,E12000007,0.168,51.4856,1532
E01000406,E02000069,E09000004,E12000007,0.1621,51.4839,2154
E01000407,E02000069,E09000004,E12000007,0.1665,51.4792,1963
E01000408,E02000068,E09000004,E12000007,0.1624,51.4894,1723
E01000409,E02000080,E09000004,E12000007,0.1023,51.4575,1799
E01000410,E02000082,E09000004,E12000007,0.0926,51.4577,1704
E01000411,E02000080,E09000004,E12000007,0.0991,51.4551,1528
E01000412,E02000082,E09000004,E12000007,0.0865,51.4578,1727
E01000413,E02000082,E09000004,E12000007,0.0963,51.4528,1393
E01000414,E02000080,E09000004,E12000007,0.1029,51.4628,1932
E01000415,E02000080,E09000004,E12000007,0.0966,51.4605,1442
E01000416,E02000066,E09000004,E12000007,0.1254,51.4937,1540
E01000417,E02000070,E09000004,E12000007,0.1264,51.4818,1723
E01000418,E02000066,E09000004,E12000007,0.1296,51.4911,1948
E01000419,E02000070,E09000004,E12000007,0.1276,51.4785,1503
E01000420,E02000070,E09000004,E12000007,0.1377,51.4792,1516
E01000421,E02000073,E09000004,E12000007,0.1348,51.4761,1539
E01000422,E02000066,E09000004,E12000007,0.1257,51.4954,1175
E01000423,E02000089,E09000004,E12000007,0.0793,51.4336,1709
E01000424,E02000090,E09000004,E12000007,0.0986,51.4315,1724
E01000425,E02000089,E09000004,E12000007,0.0878,51.4339,1782
E01000426,E02000090,E09000004,E12000007,0.0881,51.4302,1654
E01000427,E02000090,E09000004,E12000007,0.0916,51.427,1977
E01000428,E02000091,E09000004,E12000007,0.0983,51.4242,1878
E01000429,E02000072,E09000004,E12000007,0.1862,51.477,1711
E01000430,E02000072,E09000004,E12000007,0.1973,51.4739,2045
E01000431,E02000072,E09000004,E12000007,0.1838,51.4753,1267
E01000433,E02000072,E09000004,E12000007,0.1833,51.4685,1964
