lsoa21cd,msoa21cd,ltla21cd,rgn21cd,lng,lat,population
E01000001,E02000001,E09000001,E12000007,-0.0962,51.5196,1795
E01000002,E02000001,E09000001,E12000007,-0.0917,51.5192,1671
E01000003,E02000001,E09000001,E12000007,-0.0958,51.5219,1896
E01000005,E02000001,E09000001,E12000007,-0.074,51.5131,1737
E01000006,E02000017,E09000002,E12000007,0.0881,51.5391,1837
E01000007,E02000016,E09000002,E12000007,0.0773,51.5401,2961
E01000008,E02000016,E09000002,E12000007,0.0712,51.5409,1761
E01000009,E02000017,E09000002,E12000007,0.0838,51.5402,1859
E01000011,E02000017,E09000002,E12000007,0.0805,51.543,1719
E01000012,E02000016,E09000002,E12000007,0.0743,51.5429,2336
E01000013,E02000014,E09000002,E12000007,0.1468,51.5433,1869
E01000014,E02000014,E09000002,E12000007,0.1431,51.5444,1780
E01000015,E02000010,E09000002,E12000007,0.1551,51.5439,2357
E01000016,E02000010,E09000002,E12000007,0.1512,51.5495,1846
E01000017,E02000010,E09000002,E12000007,0.1461,51.5495,1724
E01000018,E02000010,E09000002,E12000007,0.1516,51.5466,1757
E01000019,E02006799,E09000002,E12000007,0.1207,51.5587,1646
E01000020,E02006799,E09000002,E12000007,0.125,51.5563,2203
E01000021,E02000009,E09000002,E12000007,0.1161,51.5546,1696
E01000022,E02000009,E09000002,E12000007,0.1213,51.5542,1445
E01000024,E02000009,E09000002,E12000007,0.1209,51.5511,1506
E01000025,E02000009,E09000002,E12000007,0.1181,51.5494,1913
E01000027,E02000002,E09000002,E12000007,0.137,51.5877,2093
E01000028,E02000002,E09000002,E12000007,0.1295,51.5852,1810
E01000029,E02000002,E09000002,E12000007,0.1348,51.58,1938
E01000030,E02000002,E09000002,E12000007,0.1365,51.5836,2545
E01000031,E02000003,E09000002,E12000007,0.1393,51.5758,1820
E01000032,E02000003,E09000002,E12000007,0.1356,51.5741,2073
E01000033,E02000007,E09000002,E12000007,0.1631,51.5551,1522
E01000034,E02000004,E09000002,E12000007,0.1684,51.5551,1644
E01000035,E02000011,E09000002,E12000007,0.1643,51.5486,1862
E01000036,E02000011,E09000002,E12000007,0.1623,51.5457,1436
E01000037,E02000004,E09000002,E12000007,0.1799,51.5626,1733
E01000038,E02000004,E09000002,E12000007,0.1727,51.5631,1653
E01000039,E02000004,E09000002,E12000007,0.1803,51.5588,1843
E01000040,E02000020,E09000002,E12000007,0.0969,51.5367,1842
E01000041,E02000018,E09000002,E12000007,0.116,51.5381,1797
E01000042,E02000018,E09000002,E12000007,0.1069,51.5377,1899
E01000043,E02000020,E09000002,E12000007,0.0984,51.5341,1568
E01000044,E02000017,E09000002,E12000007,0.0907,51.5359,1973
E01000045,E02000018,E09000002,E12000007,0.1127,51.535,1688
E01000046,E02000018,E09000002,E12000007,0.12,51.5365,1923
E01000049,E02000022,E09000002,E12000007,0.0854,51.5306,1707
E01000050,E02000020,E09000002,E12000007,0.0857,51.5347,1861
E01000051,E02000022,E09000002,E12000007,0.0828,51.5341,1104
E01000052,E02000020,E09000002,E12000007,0.0927,51.5326,2444
E01000053,E02000021,E09000002,E12000007,0.1432,51.5327,1659
E01000054,E02000019,E09000002,E12000007,0.1325,51.5369,1830
E01000055,E02000019,E09000002,E12000007,0.126,51.5358,1595
E01000056,E02000019,E09000002,E12000007,0.1367,51.5344,1658
E01000057,E02000013,E09000002,E12000007,0.1268,51.5379,1610
E01000058,E02000019,E09000002,E12000007,0.1362,51.5395,2164
E01000059,E02000014,E09000002,E12000007,0.1413,51.5364,1702
E01000060,E02000007,E09000002,E12000007,0.1522,51.5575,2180
E01000061,E02000007,E09000002,E12000007,0.1526,51.5608,1960
E01000062,E02000007,E09000002,E12000007,0.1522,51.5537,2208
E01000063,E02000005,E09000002,E12000007,0.1455,51.5563,1739
E01000064,E02000007,E09000002,E12000007,0.1576,51.5538,2291
E01000065,E02000008,E09000002,E12000007,0.1432,51.5525,1967
E01000066,E02000012,E09000002,E12000007,0.1063,51.547,2582
E01000067,E02000012,E09000002,E12000007,0.1012,51.547,2237
E01000068,E02000017,E09000002,E12000007,0.09,51.5414,1760
E01000069,E02000012,E09000002,E12000007,0.0993,51.543,2169
E01000070,E02000012,E09000002,E12000007,0.0937,51.5434,2066
E01000071,E02000012,E09000002,E12000007,0.0994,51.54,2618
E01000072,E02000018,E09000002,E12000007,0.1146,51.5421,2139
E01000073,E02000013,E09000002,E12000007,0.1164,51.5458,1863
E01000074,E02000013,E09000002,E12000007,0.1205,51.5459,1749
E01000075,E02000013,E09000002,E12000007,0.1258,51.5415,2056
E01000076,E02000013,E09000002,E12000007,0.1201,51.5412,2168
E01000077,E02000009,E09000002,E12000007,0.1259,51.5495,1757
E01000078,E02000008,E09000002,E12000007,0.1325,51.5525,1938
E01000079,E02000010,E09000002,E12000007,0.1413,51.5471,1767
E01000080,E02000008,E09000002,E12000007,0.1306,51.5486,1756
E01000081,E02000008,E09000002,E12000007,0.1383,51.5502,1981
E01000082,E02000008,E09000002,E12000007,0.1384,51.5545,1846
E01000083,E02000008,E09000002,E12000007,0.1286,51.5536,1977
E01000084,E02000014,E09000002,E12000007,0.1458,51.5398,1418
E01000085,E02000014,E09000002,E12000007,0.1503,51.538,1607
E01000086,E02000014,E09000002,E12000007,0.1462,51.5367,1444
E01000087,E02000021,E09000002,E12000007,0.1514,51.5328,1650
E01000088,E02000021,E09000002,E12000007,0.1553,51.5332,2023
E01000089,E02000021,E09000002,E12000007,0.1601,51.5307,1819
E01000090,E02000021,E09000002,E12000007,0.1592,51.5288,1675
E01000091,E02000023,E09000002,E12000007,0.1094,51.5276,2102
E01000093,E02000023,E09000002,E12000007,0.1015,51.5289,1801
E01000094,E02000023,E09000002,E12000007,0.1162,51.5265,2609
E01000095,E02000019,E09000002,E12000007,0.1273,51.5292,2376
